,artist,genre,lyrics,song
490,Little Anthony & The Imperials,Rock,Oooh oooo Id move mountain If want Though hard hard Its oh hard I love I need much So much Id swim ocean If want Though hard hard Its oh hard I love I need much So much Where go oh Where stray What must I do dear To make stay oh I pray every night dear For return For tender kiss dear My dear woah oh Id give heart If want Yes I yes I will Yes I yes I will You know I Cause I love I need much So much Oh much So much Oh so much,So Much 
491,Little Anthony & The Imperials,Rock,Well Im alright alright Im alright yes Im alright Since baby told love Im alright Im alright Since told me put one Im alright now Im alright Im alright Im alright Im alright yes Im alright Since baby held arms Im alright Im alright Since let taste many charms Im alright Im alright Im alright yes Im alright Im alright let tell Im alright She told love She told cared And told It made feel like millionaire Im alright Im alright She made feel happy Oh made feel glad Never I blue again never I sad Cos Im alright Im alright Im alright Im alright Yes arms feels good Yes Im arms taste many charms Yes Im full joy Oh I feel like baby boy Let hear Incomprehensible tell alright Yeah Im alright let tell Im alright Let tell Im alright let tell Im alright Let tell you let tell Im alright Alright now alright alright alright,I'm Alright 
492,Little Anthony & The Imperials,Rock,You remember But I remember Twas long ago You broke heart two Tears pillow Pain heart Caused oooh oooh you oooh oooh If could start new I wouldnt hesitate Id gladly take back And tempt hand fate Tears pillow Pain heart Caused oooh oooh you oooh oooh Love gadget Love toy When find one love Shell fill heart joy If could start new I wouldnt hesitate Id gladly take back And tempt hand fate Tears pillow Pain heart Caused oooh oooh you oooh oooh ohh,Tears on My Pillow 
493,Little Anthony & The Imperials,Rock,Two People In World Little Anthony Imperials Written Richard Barrett Ernest Wright Jr This make Pop chart Theres two kinds people world Why cant fall love Just two kinds people world They boy girl Boy meets girl love begins Oh feeling get within Oh I know Im iin love Im boy girl stars Just two kinds people world Why cant fall love Just two kinds people world They boy girl Boy meets girl love begins Oh feeling get within Oh I know Im iin love Im boy girl stars Just two kinds people world Why cant fall love Just two kinds people world Why cant fall lolololove Loove,Two People in the World 
494,Little Anthony & The Imperials,Rock,Wishful wishful wishful wishful You believe But I believe Those promises made Ill never hold Wishful thinking could start aknew Wishful wishful wishful wishful Those things used You someone new You confide But I confide Wishful thinking could start aknew Dont know I miss Since weve apart Youre longer arms Still heart Wishful wishful wishful wishful No matter may You know true You belong But I belong Wishful thinking could start aknew Wishful wishful wishful wishful Wishful thinking could start aknew Wishful wishful wishful wishful,Wishful Thinking 
495,Little Anthony & The Imperials,Rock,How Id like look little book The one lock key And know boy care for The boy whos diary When late night name write Oh Id give I could see Am I boy care for The boy whos diary Do recall make note The little things I say do The name underline Im hoping mine Darling Im love you Please leave blue Make dreams come true You know much mean me Say Im boy care for The boy whos diary,The Diary 
496,Little Anthony & The Imperials,Rock,Sorry Little Anthony The Imperials Theme search everything lyrics moment Please check spelling try search Little Anthony The Imperials Theme search everything lyrics var GOOG_FIXURL_LANG envar GOOG_FIXURL_SITE httpwwwsonglyricscom,Theme from 
497,Little Anthony & The Imperials,Rock,Sorry Little Anthony The Imperials You gonna live forever lyrics moment Please check spelling try search Little Anthony The Imperials You gonna live forever lyrics var GOOG_FIXURL_LANG envar GOOG_FIXURL_SITE httpwwwsonglyricscom,You're Gonna Live Forever in Me 
498,Twenty One Pilots,Rock,Im fairly local Ive around Ive seen streets walking Im fairly local good people now oh oh oh oh oh oh oh Im evil core What I I They say Im emotional What I want save Ill kill Is I truly am I truly chance Tomorrow Ill keep beat And repeat yesterdays dance Yo song never radio Even clique pick people vote Its few proud emotional Yo you bulletproof black like funeral The world around us burning were cold Its few proud emotional Im fairly local Ive around Ive seen streets walking Im fairly local good people now oh oh oh oh oh oh oh oh oh oh oh oh oh oh Im evil core What I I fight I know Im emotional What I want save I try I know I truly am I truly chance Tomorrow Ill switch beat To avoid yesterdays dance Yo song never radio Even clique pick people vote Its few proud emotional Yo you bulletproof black like funeral The world around us burning were cold Its few proud emotional Im fairly local Ive around Ive seen streets walking Im fairly local good people now oh oh oh oh oh oh oh oh oh oh oh oh oh oh Im fairly local Ive around Ive seen streets walking Im fairly local good people now oh oh oh oh oh oh oh Im fairly local good people now oh oh oh oh oh oh oh Good people now oh oh oh oh oh oh oh Good people now oh oh oh oh oh oh oh,Fairly Local 
499,Twenty One Pilots,Rock,Sometimes got bleed know That alive soul But takes someone come around show how Shes tear heart Im alive Shes tear heart Im fire Shes tear heart take higher Than Ive ever been The songs radio ok But taste music face And takes song come around show how Shes tear heart Im alive Shes tear heart Im fire Shes tear heart take higher Than Ive ever Than Ive ever Than Ive ever Than Ive ever You fell asleep car I drove whole time But thats ok Ill avoid holes sleep fine Im driving I sit cursing government For using taxes fill holes cement You fell asleep car I drove whole time But thats ok Ill avoid holes sleep fine Im driving I sit cursing government For using taxes fill holes cement Sometimes got bleed know oh oh That alive soul oul oul But takes someone come around show how Shes tear heart Im alive Shes tear heart Im fire Shes tear heart take higher Than Ive ever been My heart armor Shes tear heart carver Shes butcher smile cut farther Than Ive ever Than Ive ever Than Ive ever Oh Ive ever My heart armor Shes tear heart carver Shes butcher smile cut farther Than Ive ever,Tear In My Heart 
