,genre,artist,album,song,lyrics
0,Folk,Regina Spektor,Far ,The Calculation ,"You went into the kitchen cupboard, got yourself another hour
And you gave half of it to me
We sat there looking at the faces of these strangers in the pages
Till we knew 'em mathematically

They were in our minds until forever but we didn't mind
We didn't know better

So we made our own computer out of macaroni pieces
And it did our thinking while we lived our lives
It counted up our feelings and divided them up even
And it called that calculation perfect love

Didn't even know that love was bigger
Didn't even know that love was so, so
Hey, hey, hey

Hey this fire, it's burnin', burnin' us up
Hey this fire, it's burnin', burnin' us up

So we made the hard decision and we each made an incision
Past our muscles and our bones, saw our hearts were little stones
Pulled them out they weren't beating and we weren't even bleeding
As we lay them on the granite counter top

We beat 'em up against each other
We beat 'em up against each other
We struck 'em hard against each other
We struck 'em so hard, so hard until they sparked

Hey this fire, it's burnin', burnin' us up
Hey this fire, it's burnin', burnin' us up
Hey this fire, it's burnin', burnin' us up"
1,Folk,Regina Spektor,Far ,One More Time With Feeling ,"Your stitches are all out But your scars are healing wrong
And the helium balloon inside your room has come undone
And it's pushing up at the ceiling
And the flickering lights, it cannot get beyond

Everyone takes turns, now it's yours to play the part
And they're sitting all around you holding copies of your chart
And the misery inside their eyes is synchronized and reflecting it to yours

Hold on, one more time with feeling
Try it again, breathing's just a rhythm
Say it in your mind until you know that the words are right
This is why we fight

You thought by now you'd be so much better than you are
You thought by now they'd see that you had come so far
And the pride inside their eyes would
Synchronize into a love you'll never know
So much more than you can show

Hold on, one more time with feeling
Try it again, breathing's just a rhythm
Say it in your mind until you know that the words are right
This is why we fight, this is why we fight"
2,Folk,Regina Spektor,Far ,Man Of A Thousand Faces ,"The man of a thousand faces
Sits down at the table
Eats a small lump of sugar
And smiles at the moon like he knows her

And begins his quiet ascension
Without anyone's steady instruction
To a place and no religion
Has found a path to our alikeness

His words are quiet like stains
Are on a tablecloth washed in a river
Stains that are trying to cover for each other
Or at least blend in with the pattern

Good is better than perfect
Scrub till your fingers are bleeding
And I'm crying for things that
I tell others to do without crying

He used to go to his favorite bookstores
And rip out his favorite pages
And stuff 'em into his breast pockets
The moon to him was a stranger

Now he sits down at a table right next to the window
And begins his quiet ascension
Without anyone's steady instruction
To a place and no religion
Has found a path to our alikeness

And he eats a small lump of sugar
And smiles at the moon like he knows her"
3,Folk,Regina Spektor,Far ,The Flowers ,"The flowers you gave me are rotting
And still I refuse to throw them away
Some of the bulbs never opened quite fully
They might, so I'm waiting and staying awake

Things, I have loved, I'm allowed to keep
I'll never know if I go to sleep

The papers around me are piling and twisting
Regina, the paper back mummy, what then?
I'm taking in a knife to the books that I own
And I'm chopping and chopping
And boiling soup from stone

Things, I have loved, I'm allowed to keep
I'll never know if I go to sleep
Things, I have loved, I'm allowed to keep
I'll never know if I go to sleep"
4,Folk,Regina Spektor,Far ,Time Is All Around ,"You step on all my parts
And then you walk right out the door
And I know that your love
Ain't never coming back no more

Time is all around except inside my clock
Everybody's waiting for their lover to unlock

Leaves become most beautiful
When they're about to die
When they're about to fall from trees
When they're about to dry up

Time is all around, time is all around

I hallucinate a cat between my feet
I'm stepping lightly so as not to hurt it
Everybody wants to say that you have changed
Of course, you've changed
You've changed, you've changed
Your mind's been rearrange

But leaves become most beautiful
When they're about to die
When they're about to fall from trees
When they're about to dry up

Leaves become most beautiful
When they're about to die
When they're about to fall from trees
When they're about to dry up

Why am I supposed to love if I don't want to love?
Why am I supposed to? I'm so tired
Why am I supposed to love if I don't want to?
I don't want, I don't want to, I don't want

Leaves become most beautiful
When they're about to die
When they're about to fall from trees
When they're about to dry up

Leaves become most beautiful
When they're about to die
When they're about to fall from trees
When they're about to dry up"
5,Folk,Regina Spektor,Far ,The Sword & The Pen ,"Don't let me get out of this kiss, don't let me say what I say
The things that scare us today, what if they happen someday?
Don't let me out of your arms for now
What if the sword kills the pen? what if the God kills the man?
And if He does it with love, well, then it's death from above
And death from above is still a death

I don't want to live without you, I don't want to live without you
I don't want to live, I don't want to live without you
I don't want to live, I don't want to live without you

For those who still can recall, the desperate colors of fall
The sweet caresses of May, only in poems remain
No one recites them these days for the shame
So what if nothing is safe, so what if no one is saved
No matter how sweet, no matter how brave
What if each to his own lonely grave?

I don't want to live without you, I don't want to live without you
I don't want to live, I don't want to live without you
I don't want to live, I don't want to live without you
I don't want to live, I don't want to live without you
I don't want to live, I don't want to live without you"
6,Folk,Regina Spektor,Far ,Riot Gear ,"Wake up, put on my riot gear
But in the study of my house
I've got a smoking jacket passed to me from Grand Daddy
It's made of bow and arrow meat

Do, do, do, do, do, do
Do, do, do, do, do, do

Come home, take off my riot gear
Put on my smoke jacket
But in the library of my house I have a laugh
Medieval jokes are just as funny now if you've got a degree

Heaven help the ones who know
What makes the world go slow

Tick-tock, tick-tock, tick-tock, tick-tock

The night comes, time to go on the town
And in my best Sashimi dress
And marble arch supporting shoes
I am a vision in my horse drawn tank

Da, da, da, da, da, da
Da, da, da, da, da, da

Stay out drinking into the night
And they are saying those same things
And I'm like, ha, ha, ha, hee, hee, hee
'Til half past three and then it's time for me to go

Heaven help the ones who know
What makes the world go slow
What makes the world go slow

Come home, take off my tuna dress
Put on my collard greens
And in my sleep what dreams may come
Before I'm woken by alarms, put on my riot gear"
7,Folk,Regina Spektor,Far ,"The Flowers - live, begin to hope tour ","The flowers you gave me are rotting
And still I refuse to throw them away
Some of the bulbs never opened quite fully
They might, so I'm waiting and staying awake

Things I have loved I'm allowed to keep
I'll never know if I go to sleep

Eaaa, ahh
A-da-dum, a-da-dum
Bum, ba-da-dum
Waau, ba-daam

The papers around me are piling and twisting
Regina the paperback mummy, what then
I'm taking the knife to the books that I own
And I'm chopping and chopping and boiling soup from stone

Things I have loved I'm allowed to keep
I'll never know if I go to sleep
Things I have loved I'm allowed to keep
I'll never know if I go to sleep

Aah, ooh do doo
Aah, oh de dah, oh
Aah, de dah da da
Ba bum, ba bum"
8,Folk,Regina Spektor,Far ,Dance Anthem of the 80’s ,"You are so sweet
Dancing to the beat

There's a meat market down the street
The boys and the girls watch each other eat

You are so sweet, so sweet
Dancing and moving to that beat, that beat

There's a meat market down the street
The boys and girls watch each other eat
The boys and the girls watch each other eat
When they really just wanna watch each other

Sleep
They want to watch, to watch each other sleep, sleep, sleep
Sleep
They want to watch, to watch each other sleep, sleep, sleep

You are so sweet
Once more
You are so sweet
Solo

I'm walking through the city like a drunk but not
With my slip showing a little like a drunk but not
And I am one of your people but the cars don't stop
And I am one of your people but the cars don't stop

It's been a long time since before I've been touched
Now I'm getting touched all the time
And it's only a matter of whom
And it's only a matter of when

An addiction, two hands and feet
There's a meat market down the street
The boys and girls watch each other eat
When they really just wanna watch each other sleep

An addiction, two hands and feet
There's a meat market down the street
The boys and girls watch each other eat
When they really just wanna watch each other

Sleep
They want to watch, to watch each other sleep, sleep, sleep
Sleep
They want to watch, to watch each other sleep, sleep, sleep
They want to watch, to watch each other sleep, sleep, sleep
They want to watch, to watch each other sleep, sleep, sleep"
9,Folk,Regina Spektor,Far ,Wallet ,"I found a wallet, I found a wallet
Inside were pictures of your small family
You were so young, your hair dark brown
You had been born in 1953

Your winter birthday was stamped on the plastic
Of a license so recently expired
I was so tired as I walked through my door
I let all the contents of your wallet on the floor

And like a holy relic or a mystery novel
I thumbed them in the dim light
Searching for a clue, a Blockbuster card
An old stick of Juicy Fruit
A crumpled receipt from a pair of leather boots

I have no wallet, I have no wallet
I keep my cards together with a blue rubber band
And with a free hand I search in my pocket
For pieces of, pieces of paper and change

I'll take your wallet to my local blockbuster
They'll find your number in their computer
You'll never know me, I'll never know you
But you will be so happy when they call you up"
