,Lyrics,Artist,Song,Genre
0,"25 years of my life and still
I'm trying to get up that great big hill of hope
For a destination
I realized quickly when I knew I should
That the world was made up of this brotherhood of man
For whatever that meansAnd so I cry sometimes
When I'm lying in bed
Just to get it all out
What's in my head
And I, I am feeling... a little peculiar.And so I wake in the morning
And I step outside
And I take a deep breath and I get real high
And I scream from the top of my lungs
What's going on?


Related




 






Match These Taylor Swift Songs to Her Ex-Boyfriends







NEW SONG: Coldplay - 'Champion Of The World ' - LYRICS







NEW SONG: Coldplay - 'Cry Cry Cry' - LYRICS






 
 

And I say:
Hey yeah yeaaah!
Hey yeah yeah.
I said hey
What's going on?And I say:
Hey yeah yeaaah!
Hey yeah yeah.
I said hey
What's going on?Uhh, uh, uhuhuh uhuhuh
Uhh, uh, uhuhuh uhuhuhAnd I try
Oh my God do I try
I try all the time
In this institution







 




And I pray
Oh my God do I pray
I pray every single day
For a revolution.And so I cry sometimes
When I'm lying bed
Just to get it all out
What's in my head
And I, I am feeling... a little peculiarAnd so I wake in the morning
And I step outside
And I take a deep breath and I get real high
And I scream from the top of my lungs
What's going on?And I say:
Hey yeah yeaaah!
Hey yeah yeah.
I said hey
What's going on?And I say:
Hey yeah yeaaah!
Hey yeah yeah.
I said hey
What's going on?And I say:
Hey yeah yeaaah!
Hey yeah yeah.
I said hey
What's going on?
And I say:
Hey yeah yeaaah!
Hey yeah yeah yeah yeah
I said hey
What's going on?
Uhh, uh, uhuhuh uhuhuh
25 years of my life and still
I'm trying to get up that great big hill of hope
For a destination




 ",4 Non Blondes,What's Up,Rock
1,"25 years of my life and still
I'm trying to get up that great big hill of hope
For a destination
I realized quickly when I knew I should
That the world was made up of this brotherhood of man
For whatever that meansAnd so I cry sometimes
When I'm lying in bed
Just to get it all out
What's in my head
And I, I am feeling... a little peculiar.And so I wake in the morning
And I step outside
And I take a deep breath and I get real high
And I scream from the top of my lungs
What's going on?


Related




 






Match These Taylor Swift Songs to Her Ex-Boyfriends







NEW SONG: Coldplay - 'Champion Of The World ' - LYRICS







NEW SONG: Coldplay - 'Cry Cry Cry' - LYRICS






 
 

And I say:
Hey yeah yeaaah!
Hey yeah yeah.
I said hey
What's going on?And I say:
Hey yeah yeaaah!
Hey yeah yeah.
I said hey
What's going on?Uhh, uh, uhuhuh uhuhuh
Uhh, uh, uhuhuh uhuhuhAnd I try
Oh my God do I try
I try all the time
In this institution







 




And I pray
Oh my God do I pray
I pray every single day
For a revolution.And so I cry sometimes
When I'm lying bed
Just to get it all out
What's in my head
And I, I am feeling... a little peculiarAnd so I wake in the morning
And I step outside
And I take a deep breath and I get real high
And I scream from the top of my lungs
What's going on?And I say:
Hey yeah yeaaah!
Hey yeah yeah.
I said hey
What's going on?And I say:
Hey yeah yeaaah!
Hey yeah yeah.
I said hey
What's going on?And I say:
Hey yeah yeaaah!
Hey yeah yeah.
I said hey
What's going on?
And I say:
Hey yeah yeaaah!
Hey yeah yeah yeah yeah
I said hey
What's going on?
Uhh, uh, uhuhuh uhuhuh
25 years of my life and still
I'm trying to get up that great big hill of hope
For a destination




 ",4 Non Blondes,What's Going On,Rock
2,"Starry night bring me down
Till I realize the moon
It seems so distant yet
I felt it pass right throughAnd I see what I see
A new world is over me
So I'll reach up to the sky
And pretend that I'm aSpaceman in another place and time
I guess I'm lookin' for a brand new place
Is there a better life for me?



Related




 






27 Best Ever Songs From Movie Soundtracks







NEW SONG: Coldplay - 'Champion Of The World ' - LYRICS







NEW SONG: Coldplay - 'Cry Cry Cry' - LYRICS






 
 

Subtle wind blow me gone
Let me rest upon your move
I trust I'll end up sleeping
Cradled in my doomAnd I feel what I feel
I can't grasp what is not real
So I'll get myself real high
And imagine I'm aSpaceman, in another place and time
I guess I'm lookin' for a brand new place
Is there a better life for me?And I remember in my mind
They say I'm a daydreamin'
Is it all that it seems
Or am I all the things I'm looking for? Yeah







 




And I see what I see
A new world is over me
And I'll reach up to the sky
And imagine I'm a
Spaceman in another place and time
I guess I'm lookin' for a brand new place
I remember living in a different life
Is there a better life for me?




 ",4 Non Blondes,Spaceman,Rock
3,"Here I am and I'm waitin'
on a chance to
make it right
Every word you say
makes my heart go bang bang
'cause it sounds so nice
Well I've been alone
and you've been a fool
oh baby don't you know that's the golden rule
Well I've been alone
and you've been a fool
oh baby don't you know that's the way I like it
Let me take you away
on the wings of my Superfly
Maybe we'll celebrate
all the room in the sky
Heaven knows we'll go boom boom boom
What can I do
to get you in the mood
baby I give up
I'm so misused
and you're so confused
it's such a drag
Well I've been alone
and you've been a fool
oh baby don't you know that's the golden rule
Well I've been alone
and you've been a fool
oh baby don't you know that's the way I like it
Let me take you away
on the wings of my Superfly
Maybe we'll celebrate
all the room in the sky
Heaven knows we'll go boom boom boom
Here I am and I'm waitin'
on a chance to
make it right
Do I turn you on
or maybe do I turn you off
could you just decide
Well I've been alone
and you've been a fool
oh baby don't you know that's the golden rule
Well I've been alone
and you've been a fool
oh baby don't you know that's the way I like it
Let me take you away
on the wings of my Superfly
Maybe we'll celebrate
all the room in the sky
Heaven knows we'll go boom boom boom


Related




 






Match These Taylor Swift Songs to Her Ex-Boyfriends







NEW SONG: Coldplay - 'Champion Of The World ' - LYRICS







NEW SONG: Coldplay - 'Cry Cry Cry' - LYRICS






 
 









 








 ",4 Non Blondes,Superfly,Rock
4,"I'm looking outside of my windows
The view that I see
Is a child and mama
And the child is begging for moneyTell me why, tell me why
The woman is blind is she so broke
The kid's dealing crimeIt's such a beautiful city
But the world is burning it downYea yea yea yea yea yea
Yea yea yea yea yea yea
It's such a beautiful city
But the world is it burning down


Related




 






Songs You Love If You Love Nerds







NEW SONG: Coldplay - 'Champion Of The World ' - LYRICS







NEW SONG: Coldplay - 'Cry Cry Cry' - LYRICS






 
 

I go to my room to turn on the T.V
I sit myself down
And I start laughing hard
'Cause this man he's asking for money
He sats ""if you send me lots of cash I'll send you
Stuff to make you rich fast""It's such a wonderful country
But the man he's burning it downYea yea yea yea yea yea
Yea yea yea yea yea yea
It's such a wonderful country
But the man he's burning it downYea yea yea yea yea yea
Yea yea yea yea yea yea
And it's burning down
And it's called the U.S of A.







 




One day I'm going to have lots of money
But I'll have to give up
For this rich society
Oh please Mr. President will you lend me a future
'Cause you'll just get it back
From the little blind woman
With the kid on the corner
And the people all over, doin' crackYea yea yea yea yea yea
Yea yea yea yea yea yea
It's such a wonderful country
But the man he's burning it downYea yea yea yea yea yea
Yea yea yea yea yea yea
And it's burning down
And it's called the U.S of A.I'm walking outside on a sunny day
With no one around
And I wonder what's wrong
The I hear this loud piercing siren
Oh my God the bomb has just dropped
And everybody climbed right on top
Screaming, what a wonderful country
But the man he's burning it downYea yea yea yea yea yea
Yea yea yea yea yea yea
It's such a wonderful country
But the man he's burning it downYea yea yea yea yea yea
Yea yea yea yea yea yea
And it's burning down
And it's called the U.S of A.




 ",4 Non Blondes,Dear Mr. President,Rock
5,"What a wonderful hesitation
who would bear to feel sorry for me
dropped another pill just to calm me
collapsed to my knees and fell fast into sleep
there I was drifting
way out into the sunshine
expecting to crash but I'm tied to a string
look at me I'm a tangled puppet
I might be a mess but I'm sure can survive



Related




 






18 Non-Traditional Yet Perfect Wedding Songs







NEW SONG: Coldplay - 'Champion Of The World ' - LYRICS







NEW SONG: Coldplay - 'Cry Cry Cry' - LYRICS






 
 

find myself awake counting sad days
1-2-3 that's too many for me
dropped another pill just to find me
reached for my hand but it was already there
then I started believin'
that I fell out of a tiny raindrop
that lost its way when I decided to roam
chasing me was a hungry dweller
but I had escaped it by pretending to diecome follow me
you won't expect the illusion you'll see
it's my imagination
hand me your eyes
I will put them in front of mine
you'll see a little better
you'll see a little better







 




what a wonderful destination
where I am now
I can no longer see
dropped another pill just to kill me
collapsed to my knees and fell fast into sleep
And there was
And there was
there I was driftingway out into the sunshine
expecting to crash but I'm tied to a string
look at me I'm a tangled puppet
I might be a mess but I'm sure can survive
but I had escaped it by pretending to die




 ",4 Non Blondes,Drifting,Rock
6,"Every time you wake in the morning
and you start to cry
and I figure there's something up baby
but you don't tell me why
And I know that's why I call you blue
'cause I figure something baby
that's why I call you pleasantly blue
Hush hush you walk on by
you don't say a word
talk to me baby, talk to me baby
what haven't I heard
And I know that's why I call you blue
'cause I figure something baby
that's why I call you pleasantly blue
Oh no, here we go
what's wrong with you
come here baby, come to me baby
what can I do
Yea I know that's why I call you blue
'cause I figure something baby
that's why I call you pleasantly blue
'cause I figure something baby
that's why I call you pleasantly blue


Related




 






23 One Hit Wonders You Still Can't Get Out Of Your Head







NEW SONG: Coldplay - 'Champion Of The World ' - LYRICS







NEW SONG: Coldplay - 'Cry Cry Cry' - LYRICS






 
 









 








 ",4 Non Blondes,Pleasantly Blue,Rock
7,"How can you tell
when your wellness is not well
make no mistakes now
please do excuse
my itchy attitude
I'm feelin' righteous
why, why are we always asking why
to lamely try to justify
for what it is a lack of drive
Calling all the people
have you nothin' brewin'
time to flap your big fat mouth
let's rap how we be doin'
say might what you say
that's really all it takes to break through
Where is it at
when your moral is a hat
full of money
can you explain
why the messy kitchen sink
is so confusing
why, why are we always asking why
to lamely try to justify
for what it is a lack of drive
Calling all the people
have you nothin' brewin'
time to flap your big fat mouth
let's rap how we be doin'
say might what you say
that's really all it takes
calling all the people
have you nothin' brewin'
time to flap your big fat mouth
let's rap how we be doin'
say might what you say
that's really all it takes to break through
calling all the people


Related




 






27 Best Ever Songs From Movie Soundtracks







NEW SONG: Coldplay - 'Champion Of The World ' - LYRICS







NEW SONG: Coldplay - 'Cry Cry Cry' - LYRICS






 
 









 








 ",4 Non Blondes,Calling All The People,Rock
8,"When I wake up in my house
I get dressed then I get lost
I don't know which way to go
I guess I'll have a cup of Joe
Where the hell was I anywaysSo I end up on the street
Walkin' talkin' to my own beat
In a fog, in a haze
I've been trippin' out for days
Can you help me find my way home



Related




 






Can You Guess The Song By The Emojis?







NEW SONG: Coldplay - 'Champion Of The World ' - LYRICS







NEW SONG: Coldplay - 'Cry Cry Cry' - LYRICS






 
 

1-2-3
Don't rock the boat now, just let it slide
Groovy people walking back and forth, that's right
So I hop on to this bus
Destination reads please save us
Not a soul that I know
To be found in this dark hole
Can you help me find my way home
Can you help me find my way home
I'm so tired of looking for the door
Please help me find my way
Please help me find my way
I can't find the door
Where am I now, where am I now
I find myself just out there floating







 








 ",4 Non Blondes,No Place Like Home,Rock
9,"If you, if you could return, don't let it burn, don't let it fade.I'm sure I'm not being rude, but it's just your attitude,
It's tearing me apart, It's ruining everything.I swore, I swore I would be true, and honey, so did you.
So why were you holding her hand? Is that the way we stand?
Were you lying all the time? Was it just a game to you?But I'm in so deep. You know I'm such a fool for you.
You got me wrapped around your finger, ah, ha, ha.
Do you have to let it linger? Do you have to, do you have to,
Do you have to let it linger?



Related




 






23 Boy Band Slow Jams That Made You Believe In Love







NEW SONG: Coldplay - 'Champion Of The World ' - LYRICS







NEW SONG: Coldplay - 'Cry Cry Cry' - LYRICS






 
 

Oh, I thought the world of you.
I thought nothing could go wrong,
But I was wrong. I was wrong.
If you, if you could get by, trying not to lie,
Things wouldn't be so confused and I wouldn't feel so used,
But you always really knew, I just wanna be with you.But I'm in so deep. You know I'm such a fool for you.
You got me wrapped around your finger, ah, ha, ha.
Do you have to let it linger? Do you have to, do you have to,
Do you have to let it linger?And I'm in so deep. You know I'm such a fool for you.
You got me wrapped around your finger, ah, ha, ha.
Do you have to let it linger? Do you have to, do you have to,
Do you have to let it linger?







 




You know I'm such a fool for you.
You got me wrapped around your finger, ah, ha, ha.
Do you have to let it linger? Do you have to, do you have to,
Do you have to let it linger?




 ",4 Non Blondes,Old Mr. Heffer,Rock
